      Address        Name         Hex         Decimal                       Binary                       Char  
0284              SPI3CON2  0x0000        0             00000000 00000000                             '..'     
0288              SPI3BUF   0x0000        0             00000000 00000000                             '..'     
02B0              U4MODE    0x0000        0             00000000 00000000                             '..'     
02B2              U4STA     0x0110        272           00000001 00010000                             '..'     
02B4              U4TXREG   0x0000        0             00000000 00000000                             '..'     
02B6              U4RXREG   0x0000        0             00000000 00000000                             '..'     
02B8              U4BRG     0x0000        0             00000000 00000000                             '..'     
02C0              TRISA     0xC600        50688         11000110 00000000                             '?.'     
02C2              PORTA     0x0000        0             00000000 00000000                             '..'     
02C4              LATA      0x0000        0             00000000 00000000                             '..'     
02C6              ODCA      0x0000        0             00000000 00000000                             '..'     
02C8              TRISB     0xFFFF        65535         11111111 11111111                             '??'     
02CA              PORTB     0x0000        0             00000000 00000000                             '..'     
02CC              LATB      0x0000        0             00000000 00000000                             '..'     
02CE              ODCB      0x0000        0             00000000 00000000                             '..'     
02D0              TRISC     0xF00A        61450         11110000 00001010                             '?.'     
02D2              PORTC     0x0000        0             00000000 00000000                             '..'     
02D4              LATC      0x0000        0             00000000 00000000                             '..'     
02D6              ODCC      0x0000        0             00000000 00000000                             '..'     
02D8              TRISD     0xFFFF        65535         11111111 11111111                             '??'     
02DA              PORTD     0x0000        0             00000000 00000000                             '..'     
02DC              LATD      0x0000        0             00000000 00000000                             '..'     
02DE              ODCD      0x0000        0             00000000 00000000                             '..'     
02E0              TRISE     0x03FF        1023          00000011 11111111                             '.?'     
02E2              PORTE     0x0000        0             00000000 00000000                             '..'     
02E4              LATE      0x0000        0             00000000 00000000                             '..'     
02E6              ODCE      0x0000        0             00000000 00000000                             '..'     
02E8              TRISF     0x013F        319           00000001 00111111                             '.?'     
02EA              PORTF     0x0000        0             00000000 00000000                             '..'     
02EC              LATF      0x0000        0             00000000 00000000                             '..'     
02EE              ODCF      0x0000        0             00000000 00000000                             '..'     
02F0              TRISG     0x03CF        975           00000011 11001111                             '.?'     
02F2              PORTG     0x0000        0             00000000 00000000                             '..'     
02F4              LATG      0x0000        0             00000000 00000000                             '..'     
02F6              ODCG      0x0000        0             00000000 00000000                             '..'     
02FC              PADCFG1   0x0000        0             00000000 00000000                             '..'     
0300              ADC1BUF0  0x0000        0             00000000 00000000                             '..'     
0302              ADC1BUF1  0x0000        0             00000000 00000000                             '..'     
0304              ADC1BUF2  0x0000        0             00000000 00000000                             '..'     
0306              ADC1BUF3  0x0000        0             00000000 00000000                             '..'     
0308              ADC1BUF4  0x0000        0             00000000 00000000                             '..'     
030A              ADC1BUF5  0x0000        0             00000000 00000000                             '..'     
030C              ADC1BUF6  0x0000        0             00000000 00000000                             '..'     
030E              ADC1BUF7  0x0000        0             00000000 00000000                             '..'     
0310              ADC1BUF8  0x0000        0             00000000 00000000                             '..'     
